Revenue,,,,Gross Sales:,,,,TAX A (VAT 16%),,TAX_B(10%SERVICE CHARGE1),,,,,TAX C (2% CAT LEVY),,,,,TAX_D(5.5%SERVICE CHARGE2),,,,,,ZERO RATED (TAX E) ,,Net Sales:
ACCOM,,,,"37,365,988.00",,,,"4,670,748.50",,"2,919,217.81",,,,,"583,843.56",,,,,0,,,,,,0,,"29,192,178.13"
AIRPORT TRANSFERS,,,,"232,000.00",,,,"31,457.63",,0,,,,,"3,932.20",,,,,0,,,,,,0,,"196,610.17"
BEVE,,,,"8,067,360.00",,,,"1,045,164.05",,0,,,,,"130,645.51",,,,,"359,275.14",,,,,,0,,"6,532,275.30"
CONFERENCE,,,,"10,189,200.00",,,,"1,273,650.00",,"796,031.25",,,,,"159,206.25",,,,,0,,,,,,0,,"7,960,312.50"
EXCURSION,,,,"32,000.00",,,,"4,338.98",,0,,,,,542.37,,,,,0,,,,,,0,,"27,118.64"
FACILITY HIRE,,,,"25,000.00",,,,"3,389.83",,0,,,,,423.73,,,,,0,,,,,,0,,"21,186.44"
FOOD,,,,"17,976,151.00",,,,"2,247,018.88",,"1,404,386.80",,,,,"280,877.36",,,,,0,,,,,,0,,"14,043,867.97"
FOOD ON ACCOMODATION,,,,"8,750,000.00",,,,"1,093,750.00",,"683,593.75",,,,,"136,718.75",,,,,0,,,,,,0,,"6,835,937.50"
GYM-DAILY,,,,"96,950.00",,,,"13,145.76",,0,,,,,"1,643.22",,,,,0,,,,,,0,,"82,161.02"
GYM-MONTHLY,,,,"109,000.00",,,,"14,779.66",,0,,,,,"1,847.46",,,,,0,,,,,,0,,"92,372.88"
LAUNDRY AND DRY CLEANING,,,,"241,810.00",,,,"32,787.80",,0,,,,,"4,098.47",,,,,0,,,,,,0,,"204,923.73"
MISCELLANEOUS,,,,"189,250.00",,,,0,,0,,,,,0,,,,,0,,,,,,0,,"189,250.00"
NO SHOW,,,,"50,200.00",,,,"6,275.00",,"3,921.88",,,,,784.38,,,,,0,,,,,,0,,"39,218.75"
PRINTING & PHOTOCOPYING,,,,"40,460.00",,,,"5,486.10",,0,,,,,685.76,,,,,0,,,,,,0,,"34,288.14"
ROOM SERVICE,,,,"139,000.00",,,,"18,847.46",,0,,,,,"2,355.93",,,,,0,,,,,,0,,"117,796.61"
SWIMMING -MONTHLY,,,,"8,000.00",,,,"1,084.75",,0,,,,,135.59,,,,,0,,,,,,0,,"6,779.66"
SWIMMING-DAILY,,,,"666,620.00",,,,"90,389.15",,0,,,,,"11,298.64",,,,,0,,,,,,0,,"564,932.20"
TRANSPORTATION,,,,"39,600.00",,,,"5,369.49",,0,,,,,671.19,,,,,0,,,,,,0,,"33,559.32"
Total,,,,84218589,,,,10557683.03,,5807151.48,,,,,1319710.38,,,,,359275.14,,,,,,0,,66174768.96
,,,,,,,,,,,,,Sales Total:,,,,,,,,,"84,218,589.00",,,,,,
,,,,,,,,,,,,,Payment Total:,,,,,,,,,"83,269,515.32",,,,,,
,Expenses,,,,,,,,,,,,Variance:,,,,,,,,,"949,073.68",,,,,,
,Department Name:,,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,ADMIN & GENERAL OFFICE,,,,"958,223.63",,,,,,,,,,,,,,,,,,,,,,,
,CONFERENCE,,,,"731,020.88",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DISPENSE BAR,,,,"2,132,427.62",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Duma,,,,"3,283.16",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DUMA BAR,,,,"1,731,492.97",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EKWENA RESTAURANT,,,,"428,334.22",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FRONT OFFICE,,,,"863,022.98",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HOUSEKEEPING/LAUNDRY,,,,"1,888,642.29",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HUNTERS TUUTI,,,,"287,075.58",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ki,,,,"50,800.00",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KITCHEN,,,,"11,515,978.36",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAIN STORE,,,,"7,885.00",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,re,,,,"10,400.00",,,,,,,,,,,,,,,,,,,,,,,
,REPAIRS & MAINTENANCE,,,,"1,313,160.43",,,,,,,,,,,,,,,,,,,,,,,
,SALES & MARKETING,,,,"7,136.25",,,,,,,,,,,,,,,,,,,,,,,
,SECURITY,,,,"104,632.31",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issue Total:,,,,22033515.68,,,,,,,,,,,,,,,,,,,,,,,
